"type","mass"
"core",464.368130181534
"core",503.231168961807
"core",511.569912674204
"core",482.540077456273
"smallflake",25.4854936225148
"flake",101.069399704094
"core",488.591868440278
"smallflake",48.7977162730256
"smallflake",38.4195782192465
"smallflake",24.5441134913656
"core",523.504328255677
"core",468.782666771395
"core",511.868795641083
"flake",48.5084063781507
"flake",54.5749570667587
"flake",49.3314034373099
"core",523.246557411653
"flake",94.192167582644
"flake",26.7490855804326
"flake",91.5657841036717
"smallflake",26.664252433208
"smallflake",41.8255935380221
"flake",111.097380805038
"core",482.629556526844
"smallflake",51.5840334483278
"smallflake",6.09585468327074
"flake",105.71712983122
"smallflake",16.9331464804999
"smallflake",29.7553482684598
"core",503.013749173887
"smallflake",52.1536813764583
"core",506.768117436634
"flake",72.5570558933126
"smallflake",44.3848682892693
"smallflake",28.2426135054949
"core",505.542874880726
"core",495.557298399931
"flake",78.4970853512865
"smallflake",27.7755712380985
"core",511.914035015702
"flake",76.9646922482283
"core",478.446005056012
"flake",85.7656398939875
"core",495.509386365804
"flake",116.749338844052
"flake",95.979221803626
"smallflake",20.7931474873726
"flake",73.5562518342021
"core",512.719723271653
"flake",90.1087916252999
"core",464.380859010391
"flake",50.7960589894661
"core",495.961003782453
"smallflake",42.2187181463477
"smallflake",31.8780609442665
"flake",110.991045824836
"smallflake",55.6543668145518
"smallflake",39.38898351929
"smallflake",16.4904415075144
"flake",104.352946642881
